docID,length,text
1,80,"Xasuusta qofkii aan dilay ayaan xabsiga uga jiri la’ahay'. Nin fal dil ah oo uu geystay xabsi ugu jira ayaa doonaya in dadka kale ay iska ilaaliyaan khaladkii uu isaga sameeyay ee u horseeday inuu gacantiisa qof ku dilo Sadam Essakhil oo ka hadlayay wareysi looga qaaday xabsiga dhexdiisa ayaa sheegay inaan loo baahneyn inuu toorri isticmaalo markii ay nin kale isku dagaaleen magaalada Birmingham, halkaasoo hal naf ay ku go'day, hooyana ay wiilkeeda kali ahaa ku weysay..."
2,90,"Kenya oo ka hadashay eedeynta Soomaaliya iyo ciidamada isku haya Beled Xaawo. Dowladda Kenya ayaa ka hadashay warqad shalay kasoo baxday Dowladda Federaalka ee Soomaaliya oo xukuumadda Nairobi ku eedeysay inay faragelin ku heyso arrimaha gudaha ee Soomaaliya Soomaaliya ayaa Kenya ugu baaqday inay si deg-deg ah u joojiso ""xadgudubyada ka dhanka ah madaxbannaanideeda iyo falalka xasillooni darrada ah ee ay ka waddo xuduudda labada dal"" Hase yeeshee afhayeenka Korneyl Cyrus Oguna Dowladda Kenya oo BBC-da la hadlay ayaa sheegay in haddii Soomaaliya ay dacwad qabto ay tahay inay soo mariso safaaradda Kenya ay ku leedahay Muqdisho..."
3,60,"Mareykanka oo cunaqabateyn ku soo rogay Ruushka. Mareykanka ayaa ku dhawaaqay cunaqabateyn cusub oo ka dhan ah Ruushka isagoo ka jawaabaya waxa uu ku sheegay weerarrada dhanka internet-ka iyo falal kale oo cadowtinnimo ah Tallaabooyinkaas, oo saameynaya dhowr shirkadood oo Ruushka laga leeyahay iyo saraakiil, ayaa looga gol leeyahay in looga hortago ""ficillada xun ee Ruushka"", ayuu yiri Aqalka Cad..."
4,72,"Maxay tahay arrinta lala yaaban yahay ee ku saabsan laadarkan Hindiga ah?. Warbaahinta iyo baraha bulshada ee dalka Hindiya ayaa maalmihii lasoo dhaafay si aad ah looga hadal hayay muuqaalka jir ahaaneed ee jilaaga xiddigga ah ee shirkadda Bollywood-ka, Danny Denzongpa Waxay sheekadan ka billaabatay markii Ranjeet Bedi oo isagana ka mid ah jilayaasha rugcaddaaga ah uu bartiisa Instagram-ka soo geliyay muuqaal ay kula jiraan xiddigo uu ka mid yahay Danny..."
5,50,"Siyaasiinta Soomaalida ugu saameynta badan ee ku soo baxay doorashada Kenya. Xasan Sheekh Cumar, Weriye sare, BBC Somali Weli way socotaa tirinta codadka doorashada Kenya, gaar ahaan tan madaxweynimada Hase yeeshee, waxaa si horudhac ah loo shaaciyay qaar ka tirsan kuraasta la doortay oo ay ugu badan yihiin xildhibaannada..."
6,81,"Afduubka Nigeria: Sababtan ayaan u doonayaa inaan ugu laabto iskuulkii la iga afduubay. Gabar laga afduubtay dugsi sare oo ku yaala gobolka Zamfara ee Nigeria ayaa sheegtay in inkasta oo dhibaato fool xun ay soo gaartay ay danaynayso inay ku laabato iskuulka Gabadhan oo la hadashay BBC Hausa, oo aanan magaceeda la shaacinin ayaa ka warantay habeenkii ay dabley hubaysnayd qabsadeen 279 arday oo ay ka mid ahayd, balse waxa ay sheegtay in dhacdadaan aysan waxbarsheeda ka raabi doonin..."
7,84,"Hiroshima iyo Nagasaki: Godka la hilmaamay ee laga qoday macdanta laga sameeyay nukliyeerka. Doorka ay Jamhuuriyadda Dimuquraadiga ee Congo ku lahayd sameyntii bambooyinkii lagu dhuftay magaalooyinka Hiroshima iyo Nagasaki, waxaa la qarinayay oo sir ayey ahayd, muddo tobannaan sano ah, laakiin dhaxalka laga helay ku lug lahaanshaheedii ayaa ilaa maanta la dareemayaa ""Erayga Shinkolobwe wuxuu igu abuuraa murug iyo boholyoow,"" ayey tidhi Susan William, oo ah taariikh-yahan ku sugan Machadka UK ee Barashada Culuumta Dalalka Barwaaqa Sooranka ah..."
8,77,"Musiibo sababtay inuu Shabeel ku seexdo sariir ay qoys leeyihiin. Shabeel dhadig ah oo kasoo baxsaday xero duur joogta lagu xareeyo oo ku taalla gobolka ay fatahaadaha halakeeyeen ee Assam ee dalka Hindiya ayaa si lama filaan ah loo arkay iyadoo ku nasanaysa saxiir dhex taalla guri ay leeyihiin qoys aaggaas daggan Shabeelkan ayaa la rumeysan yahay inuu kasoo cararay xerada lagu magacaabo Kaziranga National Park, halkaasoo ay maalmihii lasoo dhaafay musiibada fatahaadda ah awgeed ugu dhinteen 92 xayawaan.."
9,74,"""Waxaan rabnaa inaan saddex maalmood si khasab ah ku xirno garoonka diyaaradaha ee London"". Nin ka mid ah mudaharaadeyaasha xoogeystay ee ka careysan isbaddalka cimilada adduunka ayaa laga soo dajiyay diyaarad ka duuli rabtay garoonka London City Airport, waxayna dhacdadaasi qeyb ka ahayd dibadbaxa hadda socda Wariye ka tirsan BBC-da oo lagu magacaabo Nicholas Watt ayaa sheegay in diyaaraddii uu la socday oo gacaha dhulka ka qaadi rabta uu nin mudaharaade ah diiday inuu fadhiisto..."
10,83,"Bariga Dhexe: Israa'iil oo sheegtay sida kaliya ee ay uga badbaadi karto khatarta Iiraan. Wasiirka Arrimaha Dibadda ee Israa'iil ayaa sheegay in haddii la sii hagaajiyo xiriirka ay la leeyihiin waddamada saaxiibka la ah ee ka tirsan Ururka Jaamacadda ay heli doonaan ""xalka kaliya"" ee ka caawin kara in ay ka guuleystaan khatarta uga imaan karta Iiraan Waxa uu wasiirku hadalkan jeediyay kaddib markii Israa'iil lagu qabtay shirkii ugu horreeyay ee ay isugu imaadaan diblomaasiyiinta sar sare ee Jaamacadda Carabta iyo Mareykanka..."
